"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Valindra Shadowmantle","ToA","58","Medium","Undead","neutral evil","17 (natural armor)","135 (18d8 + 54)","30 ft.","11","16","16","20","14","16","Con +10, Int +12, Wis +9","Arcana +19, History +12, Insight +9, Perception +9","","cold, lightning, necrotic","poison; bludgeoning, piercing, and slashing from nonmagical attacks","charmed, exhaustion, frightened, paralyzed, poisoned","Truesight 120 ft., passive Perception 19","Common, Abyssal, Draconic, Dwarvish, Elvish, Infernal","21 (XP 33,000; PB +7)","Legendary Resistance (3/Day). If Valindra fails a saving throw, she can choose to succeed instead.

Mask. As a bonus action, Valindra can mask her shriveled flesh and appear to be a living elf. This magical illusion lasts until she ends it as a bonus action or until she uses her Frightening Gaze legendary action. The effect also ends if Valindra drops to 30 hit points or fewer, or if dispel magic is cast on her.

Preparation. When preparing her spells, Valindra can swap out any spell on her list of prepared spells for another wizard spell of the same level.

Rejuvenation. If destroyed Valindra gains a new body in 1d10 days, regaining all her hit points and becoming active again. The new body appears within 5 feet of the phylactery.

Spellcasting. Valindra is an 18th-level spellcaster. Her spellcasting ability is Intelligence (spell save DC 20, +12 to hit with spell attacks). Valindra has the following wizard spells prepared:

Cantrips (at will): mage hand, prestidigitation, ray of frost

1st level (4 slots): detect magic, magic missile, shield, thunderwave

2nd level (3 slots): detect thoughts, invisibility, Melf's acid arrow, mirror image

3rd level (3 slots): animate dead, counterspell, dispel magic, fireball

4th level (3 slots): blight, dimension door

5th level (3 slots): cloudkill, scrying

6th level (1 slot): disintegrate, globe of invulnerability

7th level (1 slot): finger of death, plane shift

8th level (1 slot): dominate monster, power word stun

9th level (1 slot): power word kill

Turn Resistance. Valindra has advantage on saving throws against any effect that turns undead.","Paralyzing Touch. Melee Spell Attack: +12 to hit, reach 5 ft., one creature. Hit: 10 (3d6) cold damage. The target must succeed on a DC 18 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","Cantrip. Valindra casts a cantrip.

Paralyzing Touch (Costs 2 Actions). Valindra uses her Paralyzing Touch.

Frightening Gaze (Costs 2 Actions). Valindra fixes her gaze on one creature she can see within 10 feet of her. The target must succeed on a DC 18 Wisdom saving throw against this magic or become frightened for 1 minute. The frightened target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a target's saving throw is successful or the effect ends for it, the target is immune to the Valindra's gaze for the next 24 hours.

Disrupt Life (Costs 3 Actions). Each non-undead creature within 20 feet of Valindra must make a DC 18 Constitution saving throw against this magic, taking 21 (6d6) necrotic damage on a failed save, or half as much damage on a successful one.","","","","",""
"Vegepygmy","MPMM","252","Small","Plant","neutral","13 (natural armor)","13 (3d6 + 3)","30 ft.","7","14","13","6","11","7","","Perception +2, Stealth +4","","lightning, piercing","","","Darkvision 60 ft., passive Perception 12","Vegepygmy","1/4 (XP 50; PB +2)","Plant Camouflage. The vegepygmy has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring vegetation.

Regeneration. The vegepygmy regains 3 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn't function at the start of the vegepygmy's next turn. The vegepygmy dies only if it starts its turn with 0 hit points and doesn't regenerate.","Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.

Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.","","","","","","","Forest, Swamp",""
"Vegepygmy Chief","MPMM","253","Small","Plant","neutral","14 (natural armor)","33 (6d6 + 12)","30 ft.","14","14","14","7","12","9","","Perception +3, Stealth +4","","lightning, piercing","","","Darkvision 60 ft., passive Perception 13","Vegepygmy","2 (XP 450; PB +2)","Plant Camouflage. The vegepygmy has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring vegetation.

Regeneration. The vegepygmy regains 5 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn't function at the start of the vegepygmy's next turn. The vegepygmy dies only if it starts its turn with 0 hit points and doesn't regenerate.","Multiattack. The vegepygmy makes two Claw attacks or two melee Spear attacks.

Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.

Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack.

Spores (1/Day). A 15-foot-radius cloud of toxic spores extends out from the vegepygmy. The spores spread around corners. Each creature in that area that isn't a Plant must succeed on a DC 12 Constitution saving throw or be poisoned. While poisoned in this way, a target takes 9 (2d8) poison damage at the start of each of its turns. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","","Forest, Swamp",""
"Velociraptor","MPMM","96","Tiny","Beast (Dinosaur)","unaligned","13 (natural armor)","10 (3d4 + 3)","30 ft.","6","14","13","4","12","6","","Perception +3","","","","","passive Perception 13","—","1/4 (XP 50; PB +2)","Pack Tactics. The velociraptor has advantage on an attack roll against a creature if at least one of the velociraptor's allies is within 5 feet of the creature and the ally isn't incapacitated.","Multiattack. The velociraptor makes one Bite attack and one Claw attack.

Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage.

Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.","","","","","","","Forest, Grassland",""
"Volothamp ""Volo"" Geddarm","ToA","235","Medium","Humanoid (Human)","chaotic good","11","31 (7d8)","30 ft.","9","12","10","15","11","16","Con +2, Wis +2","Animal Handling +4, Arcana +4, Deception +5, History +4, Insight +2, Investigation +4, Perception +2, Performance +7, Persuasion +7, Sleight of Hand +3, Survival +2","","","","","passive Perception 12","Common, Dwarvish, Elvish","1/4 (XP 50; PB +2)","Spellcasting. Volo is a 1st-level spellcaster. His spellcasting ability is Intelligence (spell save DC 12, +4 to hit with spell attacks). He has the following wizard spells prepared:

Cantrips (at will): friends, mending, prestidigitation

1st level (2 slots): comprehend languages, detect magic, disguise self","Dagger. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 3 (1d4 + 1) piercing damage.","","","","","","","",""
"Wakanga O'tamu","ToA","27","Medium","Humanoid (Human)","lawful neutral","12 (15 with mage armor)","40 (9d8)","30 ft.","9","14","11","17","12","11","Int +6, Wis +4","Arcana +6, History +6","","","","","passive Perception 11","Any four languages","6 (XP 2,300; PB +3)","Spellcasting. Wakanga is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). Wakanga has the following wizard spells prepared:

Cantrips (at will): fire bolt, light, mage hand, prestidigitation

1st level (4 slots): detect magic, mage armor, magic missile, shield

2nd level (3 slots): misty step, suggestion

3rd level (3 slots): counterspell, fireball, fly

4th level (3 slots): greater invisibility, ice storm

5th level (1 slot): cone of cold","Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","","",""
"Withers","ToA","145","Medium","Undead","neutral evil","14 (studded leather)","45 (6d8 + 18)","30 ft.","15","14","16","16","13","15","","Perception +3, Stealth +4","","necrotic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","poison","exhaustion, poisoned","Darkvision 60 ft., passive Perception 13","The languages he knew in life","4 (XP 1,100; PB +2)","Special Equipment. Withers carries the amulet of the black skull.

Spellcasting. Withers is a 9th-level spellcaster. His spellcasting ability is Intelligence (spell save DC 13, +5 to hit with spell attacks). Withers has the following wizard spells prepared:

Cantrips (at will): acid splash, mage hand, minor illusion, prestidigitation

1st level (4 slots): detect magic, expeditious retreat, feather fall, thunderwave

2nd level (4 slots): darkness, hold person, rope trick

3rd level (3 slots): dispel magic, lightning bolt

4th level (3 slots): blight, wall of fire

5th level (1 slot): telekinesis

Sunlight Sensitivity. While in sunlight, Withers has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Multiattack. Withers makes two longsword attacks. He can use his Life Drain in place of one longsword attack.

Life Drain. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) necrotic damage. The target must succeed on a DC 13 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.

A humanoid slain by this attack rises 24 hours later as a zombie under the Withers's control, unless the humanoid is restored to life or its body is destroyed. Withers can have no more than twelve zombies under its control at one time.

Longsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage, or 7 (1d10 + 2) slashing damage if used with two hands.","","","","","","","",""
"Xandala","ToA","236","Medium","Humanoid (Half-Elf)","neutral evil","13 (natural armor)","71 (11d8 + 22)","30 ft.","10","11","14","18","16","18","Int +7, Wis +6","Arcana +7, Deception +10, History +7, Insight +6, Survival +6","","","","","passive Perception 13","Common, Draconic, Dwarvish, Elvish, Halfling","7 (XP 2,900; PB +3)","Quickened Spell (3/Day). When she casts a spell that has a casting time of 1 action, Xandala changes the casting time to 1 bonus action for that casting.

Spellcasting. Xandala is a 9th-level spellcaster. Her spellcasting ability is Charisma (spell save DC 15, +7 to hit with spell attacks). Xandala has the following sorcerer spells prepared:

Cantrips (at will): acid splash, fire bolt, light, mage hand, ray of frost

1st level (4 slots): chromatic orb, feather fall, shield

2nd level (4 slots): invisibility, misty step

3rd level (3 slots): fireball, fly

4th level (3 slots): ice storm, polymorph

5th level (1 slot): dominate person","Quarterstaff. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d6) bludgeoning damage, or 4 (1d8) bludgeoning damage when used with two hands.","","","","","","","",""
"Yellow Musk Creeper","ToA","237","Medium","Plant","unaligned","6","60 (11d8 + 11)","5 ft., Climb 5 ft.","12","3","12","1","10","3","","","","","","blinded, deafened, exhaustion, prone","Blindsight 30 ft., passive Perception 10","—","2 (XP 450; PB +2)","False Appearance. While the creeper remains motionless, it is indistinguishable from an ordinary flowering vine.

Regeneration. The creeper regains 10 hit points at the start of its turn. If the creeper takes fire, necrotic, or radiant damage, this trait doesn't function at the start of its next turn. The creeper dies only if it starts its turn with 0 hit points and doesn't regenerate.","Touch. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 13 (3d8) psychic damage. If the target is a humanoid that drops to 0 hit points as a result of this damage, it dies and is implanted with a yellow musk creeper bulb. Unless the bulb is destroyed, the corpse animates as a yellow musk zombie after being dead for 24 hours. The bulb is destroyed if the creature is raised from the dead before it can transform into a yellow musk zombie, or if the corpse is targeted by a remove curse spell or similar magic before it animates.

Yellow Musk (3/Day). The creeper's flowers release a strong musk that targets all humanoids within 30 feet of it. Each target must succeed on a DC 11 Wisdom saving throw or be charmed by the creeper for 1 minute. A creature charmed in this way does nothing on its turn except move as close as it can to the creeper. A creature charmed by the creeper can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","","",""
"Yellow Musk Zombie","ToA","237","Medium","Undead","unaligned","9","33 (6d8 + 6)","20 ft.","13","9","12","1","6","3","","","","","","charmed, exhaustion","Blindsight 30 ft., passive Perception 8","—","1/4 (XP 50; PB +2)","Undead Fortitude. If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 +the damage taken, unless the damage is fire or from a critical hit. On a success, the zombie drops to 1 hit point instead.","Slam. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) bludgeoning damage.","","","","","","","",""
"Yorb","ToA","108","Small","Humanoid (Grung)","lawful evil","13","49 (9d6 + 18)","25 ft., Climb 25 ft.","7","16","15","10","11","12","Dex +5","Athletics +2, Perception +2, Stealth +5, Survival +2","","","poison","poisoned","passive Perception 12","Grung","2 (XP 450; PB +2)","Amphibious. Yorb can breathe air and water.

Poisonous Skin. Any creature that grapples Yorb or otherwise comes into direct contact with Yorb's skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with Yorb can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.

Standing Leap. Yorb's long jump is up to 25 feet and its high jump is up to 15 feet, with or without a running start.","Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or take 5 (2d4) poison damage.

Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or take 5 (2d4) poison damage.

Mesmerizing Chirr (Recharge 6). Yorb makes a chirring noise to which grungs are immune. Each humanoid or beast that is within 15 feet of Yorb and able to hear it must succeed on a DC 12 Wisdom saving throw or be stunned until the end of Yorb's next turn.","","","","","","","",""
"Yuan-ti Broodguard","MPMM","273","Medium","Monstrosity","neutral evil","14 (natural armor)","45 (7d8 + 14)","30 ft.","15","14","14","6","11","4","Str +4, Dex +4, Wis +2","Perception +2","","","poison","charmed, paralyzed, poisoned","Darkvision 60 ft., passive Perception 12","Abyssal, Common, Draconic","2 (XP 450; PB +2)","Reckless. At the start of its turn, the broodguard can gain advantage on all melee weapon attack rolls it makes during that turn, but attack rolls against it have advantage until the start of its next turn.","Multiattack. The broodguard makes one Bite attack and two Claw attacks.

Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.

Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.","","","","","","","Desert, Forest, Underdark",""
"Yuan-ti Nightmare Speaker","MPMM","275","Medium","Monstrosity (Warlock)","neutral evil","14 (natural armor)","71 (13d8 + 13)","30 ft.","16","14","13","14","12","16","Wis +3, Cha +5","Deception +5, Stealth +4","","","poison","poisoned","Darkvision 120 ft., passive Perception 11","Abyssal, Common, Draconic","4 (XP 1,100; PB +2)","Devil's Sight. Magical darkness doesn't impede the yuan-ti's darkvision.

Magic Resistance. The yuan-ti has advantage on saving throws against spells and other magical effects.","Multiattack. The yuan-ti makes one Constrict attack and one Scimitar attack, or it makes two Spectral Fangs attacks.

Constrict. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC 14) if it is a Large or smaller creature. Until this grapple ends, the target is restrained. The yuan-ti can constrict only one creature at a time.

Scimitar (Yuan-ti Form Only). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.

Spectral Fangs. Ranged Spell Attack: +5 to hit, range 120 ft., one target. Hit: 16 (3d8 + 3) necrotic damage.

Invoke Nightmare (Recharges after a Short or Long Rest). The yuan-ti taps into the nightmares of one creature it can see within 60 feet of it and creates an illusory, immobile manifestation of the creature's deepest fears, visible only to that creature.

The target must make a DC 13 Intelligence saving throw. On a failed save, the target takes 22 (4d10) psychic damage and is frightened of the manifestation, believing it to be real. The yuan-ti must concentrate to maintain the illusion (as if concentrating on a spell), which lasts for up to 1 minute and can't be harmed. The target can repeat the saving throw at the end of each of its turns, ending the illusion on a success or taking 11 (2d10) psychic damage on a failure.

Spellcasting (Yuan-ti Form Only). The yuan-ti casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 13):

At will: animal friendship (snakes only), mage hand, message, prestidigitation

3/day: suggestion

2/day each: darkness, fear","Change Shape. The yuan-ti transforms into a Medium snake or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. If it dies, it stays in its current form.","","","","","","Desert, Forest, Underdark",""
"Zalkoré","ToA","79","Medium","Monstrosity","lawful evil","15 (natural armor)","127 (17d8 + 51)","30 ft.","10","15","16","12","13","15","","Deception +5, Insight +4, Perception +4, Stealth +5","","","","","Darkvision 60 ft., passive Perception 14","Common","6 (XP 2,300; PB +3)","Petrifying Gaze. When a creature that can see Zalkoré's eyes starts its turn within 30 feet of Zalkoré, Zalkoré can force it to make a DC 14 Constitution saving throw if Zalkoré isn't incapacitated and can see the creature. If the saving throw fails by 5 or more, the creature is instantly petrified. Otherwise, a creature that fails the save begins to turn to stone and is restrained. The restrained creature must repeat the saving throw at the end of its next turn, becoming petrified on a failure or ending the effect on a success. The petrification lasts until the creature is freed by the greater restoration spell or other magic.

Unless surprised, a creature can avert its eyes to avoid the saving throw at the start of its turn. If the creature does so, it can't see Zalkoré until the start of its next turn, when it can avert its eyes again. If the creature looks at Zalkoré in the meantime, it must immediately make the save.

If Zalkoré sees itself reflected on a polished surface within 30 feet of it and in an area of bright light, Zalkoré is, due to its curse, affected by its own gaze.","Multiattack. Zalkoré makes either three melee attacks—one with its snake hair and two with its shortsword—or two ranged attacks with its longbow.

Snake Hair. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage plus 14 (4d6) poison damage.

Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.

Longbow. Ranged Weapon Attack: +5 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage plus 7 (2d6) poison damage.","","","","","","","",""
"Zaroum Al-Saryak","ToA","67","Medium","Humanoid (Human)","lawful evil","15 (studded leather)","65 (10d8 + 20)","30 ft.","15","16","14","14","11","14","Str +4, Dex +5, Wis +2","Athletics +4, Deception +4","","","","","passive Perception 10","Any two languages","2 (XP 450; PB +2)","","Multiattack. Zaroum makes three melee attacks: two with its scimitar and one with its dagger. Or Zaroum makes two ranged attacks with its daggers.

Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.

Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage.","","Parry. Zaroum adds 2 to its AC against one melee attack that would hit it. To do so, Zaroum must see the attacker and be wielding a melee weapon.","","","","","",""
"Zhanthi","ToA","27","Medium","Humanoid (Human)","neutral good","15 (breastplate)","9 (2d8)","30 ft.","11","12","11","12","14","16","","Deception +5, Insight +4, Persuasion +5","","","","","passive Perception 12","Any two languages","1/8 (XP 25; PB +2)","","Rapier. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) piercing damage.","","Parry. Zhanthi adds 2 to its AC against one melee attack that would hit it. To do so, Zhanthi must see the attacker and be wielding a melee weapon.","","","","","",""
"Zindar","ToA","239","Medium","Humanoid (Half-Dragon)","lawful good","13 (natural armor)","110 (17d8 + 34)","30 ft.","14","10","14","16","15","18","Con +5, Wis +5","Arcana +6, History +9, Insight +5, Investigation +9","","fire","","","Blindsight 10 ft., Darkvision 60 ft., passive Perception 12","Common, Draconic, Dwarvish, Primordial","8 (XP 3,900; PB +3)","Dragon Wings. As a bonus action on his turn, Zindar can sprout a pair of dragon wings from his back, gaining a flying speed of 30 feet until he dismisses them as a bonus action.

Spellcasting. Zindar is a 14th-level spellcaster. His spellcasting ability is Charisma (spell save DC 15, +7 to hit with spell attacks). Zindar knows the following sorcerer spells:

Cantrips (at will): fire bolt, friends, light, mage hand, mending, message

1st level (6 slots): magic missile, shield, sleep

2nd level (4 slots): detect thoughts, knock

3rd level (3 slots): clairvoyance, tongues

4th level (3 slots): dominate beast, stoneskin

5th level (3 slots): hold monster, telekinesis

6th level (1 slot): true seeing

7th level (1 slot): fire storm","Quarterstaff. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage, or 6 (1d8 + 2) bludgeoning damage when used with two hands.

Breath Weapon (Recharge 5–6). Zindar uses one of the following options:

Fire Breath. Zindar exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 22 (4d10) fire damage on a failed save, or half as much damage on a successful one.

Weakening Breath. Zindar exhales gas in a 15-foot cone. Each creature in that area must succeed on a DC 15 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","","","","","","","",""
"Zorbo","ToA","241","Small","Monstrosity","unaligned","10 (see Natural Armor feature)","27 (6d6 + 6)","30 ft., Climb 30 ft.","13","11","13","3","12","7","","Athletics +3","","","","","passive Perception 11","—","1/2 (XP 100; PB +2)","Magic Resistance. The zorbo has advantage on saving throws against spells and other magical effects.

Natural Armor. The zorbo magically absorbs the natural strength of its surroundings, adjusting its Armor Class based on the material it is standing or climbing on: AC 15 for wood or bone, AC 17 for earth or stone, or AC 19 for metal. If the zorbo isn't in contact with any of these substances, its AC is 10.","Destructive Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 8 (2d6 + 1) slashing damage, and if the target is a creature wearing armor, carrying a shield, or in possession of a magic item that improves its AC, it must make a DC 11 Dexterity saving throw. On a failed save, one such item worn or carried by the creature (the target's choice) magically deteriorates, taking a permanent and cumulative −1 penalty to the AC it offers, and the zorbo gains a +1 bonus to AC until the start of its next turn. Armor reduced to an AC of 10 or a shield or magic item that drops to a 0 AC increase is destroyed.","","","","","","","",""
